Year,Province,Reported_Confirmed_Cases,Estimated_Cases_WHO,Reported_Deaths,Estimated_Deaths_WHO,Plasmodium_Vivax_Pct,Rainfall_Anomaly_mm,Bednets_Distributed
2000,Sindh,25000,360000,8,180,75.0,-12.5,150000
2000,Balochistan,31000,420000,11,210,68.0,-22.0,100000
2000,KPK,20000,300000,5,150,88.0,5.4,80000
2000,Punjab,6693,120000,1,60,92.0,12.3,50000
2001,Sindh,27000,370000,8,185,74.5,-8.2,160000
2001,Balochistan,34000,440000,11,220,67.5,-15.4,110000
2001,KPK,22000,310000,5,155,87.5,6.1,90000
2001,Punjab,7000,120000,1,60,91.5,10.1,60000
2002,Sindh,29000,390000,9,195,74.0,-5.1,170000
2002,Balochistan,37000,470000,12,235,67.0,-18.2,120000
2002,KPK,24000,320000,6,160,87.0,8.4,100000
2002,Punjab,8000,120000,2,60,91.0,7.2,70000
2003,Sindh,32000,410000,9,205,73.5,2.4,180000
2003,Balochistan,41000,500000,13,250,66.0,4.1,130000
2003,KPK,26000,340000,6,170,86.5,12.5,110000
2003,Punjab,9000,120000,2,60,90.5,14.2,80000
2004,Sindh,35000,430000,10,215,73.0,8.5,190000
2004,Balochistan,44000,530000,14,265,65.5,1.2,140000
2004,KPK,28000,350000,6,175,86.0,15.1,115000
2004,Punjab,9500,120000,2,60,90.0,6.5,85000
2005,Sindh,39000,450000,10,220,72.0,-10.5,200000
2005,Balochistan,48000,560000,15,280,65.0,-15.0,150000
2005,KPK,31000,370000,6,185,85.0,18.2,120000
2005,Punjab,10041,120000,2,65,90.0,5.8,80000
2006,Sindh,45000,455000,10,225,71.5,4.2,220000
2006,Balochistan,56000,565000,16,285,64.0,8.5,160000
2006,KPK,36000,375000,7,188,84.5,-2.1,130000
2006,Punjab,11000,120000,2,65,89.5,12.4,90000
2007,Sindh,51000,460000,11,230,71.0,-8.1,240000
2007,Balochistan,64000,570000,17,290,63.0,-11.4,170000
2007,KPK,41000,380000,7,190,84.0,5.2,140000
2007,Punjab,13000,120000,2,65,89.0,6.1,100000
2008,Sindh,58000,465000,11,235,70.5,12.5,260000
2008,Balochistan,72000,580000,18,295,62.0,15.1,180000
2008,KPK,46000,390000,8,195,83.5,-4.2,150000
2008,Punjab,15000,120000,2,65,88.5,-5.5,110000
2009,Sindh,65000,470000,12,240,70.0,-2.5,300000
2009,Balochistan,81000,590000,19,300,61.0,-6.2,200000
2009,KPK,52000,395000,8,200,83.0,18.4,170000
2009,Punjab,17000,120000,3,65,88.0,9.1,130000
2010,Sindh,72000,480000,13,270,70.0,-5.4,350000
2010,Balochistan,91000,600000,20,340,60.0,-12.3,250000
2010,KPK,58000,400000,9,225,82.0,35.1,200000
2010,Punjab,19591,120000,3,65,89.0,8.2,150000
2011,Sindh,66000,420000,11,230,72.4,-1.5,370000
2011,Balochistan,79000,490000,17,290,63.5,-5.2,260000
2011,KPK,50000,330000,7,195,83.2,12.4,210000
2011,Punjab,16000,150000,2,80,89.5,4.1,160000
2012,Sindh,60000,380000,9,200,74.8,11.2,390000
2012,Balochistan,67000,410000,14,240,67.1,8.4,270000
2012,KPK,43000,270000,6,160,84.5,-2.1,220000
2012,Punjab,13000,180000,2,90,90.1,6.5,170000
2013,Sindh,55000,350000,8,180,77.2,5.4,410000
2013,Balochistan,55000,340000,11,200,70.8,-1.2,280000
2013,KPK,36000,220000,5,130,85.8,14.2,230000
2013,Punjab,10000,220000,1,110,90.7,15.1,180000
2014,Sindh,50000,320000,6,160,79.5,-4.2,430000
2014,Balochistan,43000,280000,9,160,74.2,-8.5,290000
2014,KPK,29000,180000,3,100,87.1,3.5,240000
2014,Punjab,8000,260000,1,130,91.0,1.2,190000
2015,Sindh,45320,310000,5,150,82.4,-12.5,450000
2015,Balochistan,31200,240000,8,120,78.1,-22.0,300000
2015,KPK,22110,150000,2,80,88.5,5.4,150000
2015,Punjab,53803,300000,5,150,91.2,12.3,100000
2016,Sindh,62000,270000,5,130,82.6,-2.4,500000
2016,Balochistan,42000,220000,6,110,78.5,-6.1,330000
2016,KPK,25000,130000,2,70,87.6,18.5,180000
2016,Punjab,92000,310000,5,140,91.6,5.1,130000
2017,Sindh,80000,240000,4,110,82.8,8.2,550000
2017,Balochistan,53000,200000,4,100,79.0,-4.5,370000
2017,KPK,28000,120000,1,60,86.8,-2.0,220000
2017,Punjab,131000,320000,5,135,92.1,2.0,170000
2018,Sindh,98230,220000,4,90,83.1,10.2,600000
2018,Balochistan,64310,180000,3,85,79.4,-5.1,400000
2018,KPK,31200,110000,1,45,86.0,22.4,250000
2018,Punjab,170172,340000,6,130,92.5,14.8,200000
2019,Sindh,112400,235000,3,95,84.0,18.9,650000
2019,Balochistan,71200,195000,2,90,78.5,8.2,420000
2019,KPK,33400,120000,1,40,87.2,35.1,280000
